,ID,scientific name,date,coordinates
1757,1584376449,Eretmochelys imbricata,1998-01-01T00:00:00Z,"151.9667,-24.3167"
1758,1584376448,Lepidochelys olivacea,1999-01-01T00:00:00Z,"141.2037,-16.6934"
1759,1584376447,Eretmochelys imbricata,2001-01-01T00:00:00Z,"149.1397,-21.0019"
1760,1584376446,Natator depressus,2000-01-01T00:00:00Z,"149.4285,-20.7598"
1761,1584376445,Natator depressus,2001-01-01T00:00:00Z,"150.4281,-21.7573"
1762,1584376444,Lepidochelys olivacea,2000-01-01T00:00:00Z,"148.7229,-20.6348"
1763,1584376443,Lepidochelys olivacea,2000-01-01T00:00:00Z,"149.4285,-20.7598"
1764,1584376442,Natator depressus,2001-01-01T00:00:00Z,"150.4289,-21.7628"
1765,1584376441,Natator depressus,2001-01-01T00:00:00Z,"150.1317,-21.853"
1766,1584376440,Lepidochelys olivacea,1979-01-01T00:00:00Z,"149.0833,-20.4833"
1767,1584376439,Eretmochelys imbricata,2001-01-01T00:00:00Z,"150.1317,-21.853"
1768,1584376438,Caretta caretta,1997-01-01T00:00:00Z,"151.9667,-24.3167"
1769,1584376437,Natator depressus,2000-01-01T00:00:00Z,"149.7968,-20.9897"
1770,1584376436,Lepidochelys olivacea,2000-01-01T00:00:00Z,"149.7968,-20.9897"
1771,1584376435,Eretmochelys imbricata,2001-01-01T00:00:00Z,"150.4281,-21.7573"
1772,1584376434,Natator depressus,1999-01-01T00:00:00Z,"142.7146,-10.9626"
1773,1584376433,Natator depressus,2000-01-01T00:00:00Z,"149.9333,-21.1044"
1774,1584376432,Eretmochelys imbricata,2001-01-01T00:00:00Z,"150.4249,-21.7543"
1775,1584376431,Lepidochelys olivacea,1970-01-01T00:00:00Z,"151.9667,-24.3167"
1776,1584376430,Lepidochelys olivacea,1999-01-01T00:00:00Z,"142.1241,-10.9835"
1777,1584376429,Natator depressus,2000-01-01T00:00:00Z,"149.1118,-20.5847"
1778,1584376428,Natator depressus,2000-01-01T00:00:00Z,"149.2074,-20.7027"
1779,1584376427,Natator depressus,1968-01-01T00:00:00Z,"151.9667,-24.3167"
1780,1584376426,Natator depressus,1998-01-01T00:00:00Z,"151.9667,-24.3167"
1781,1584376425,Natator depressus,1977-01-01T00:00:00Z,"151.9667,-24.3167"
1782,1584376424,Eretmochelys imbricata,1979-01-01T00:00:00Z,"149.0833,-20.4833"
1783,1584376423,Natator depressus,1970-01-01T00:00:00Z,"151.9667,-24.3167"
1784,1584376422,Lepidochelys olivacea,2000-01-01T00:00:00Z,"149.4291,-20.7578"
1785,1584376421,Lepidochelys olivacea,2000-01-01T00:00:00Z,"149.4354,-20.767"
1786,1584376420,Natator depressus,2000-01-01T00:00:00Z,"149.4554,-21.7324"
1787,1584376419,Chelonia mydas,1998-01-01T00:00:00Z,"151.9667,-24.3167"
1788,1584376418,Lepidochelys olivacea,1974-01-01T00:00:00Z,"151.9667,-24.3167"
1789,1584376417,Natator depressus,1999-01-01T00:00:00Z,"142.1241,-10.9835"
1790,1584376416,Eretmochelys imbricata,2001-01-01T00:00:00Z,"150.4122,-21.7543"
1791,1584376415,Eretmochelys imbricata,2001-01-01T00:00:00Z,"150.2356,-21.5333"
1792,1584376414,Chelonia mydas,1997-01-01T00:00:00Z,"151.9667,-24.3167"
1793,1584376413,Natator depressus,2000-01-01T00:00:00Z,"149.4315,-20.7591"
1794,1584376412,Lepidochelys olivacea,2000-01-01T00:00:00Z,"149.2074,-20.7027"
1795,1584376411,Natator depressus,2000-01-01T00:00:00Z,"149.1107,-20.5902"
1796,1584376410,Lepidochelys olivacea,1979-01-01T00:00:00Z,"151.9667,-24.3167"
